"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","JPY","Yen","9","billions",,,-322.7,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","JPY","Yen","9","billions","2005","2005",-198.5,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","JPY","Yen","9","billions","2005","2005",-285.5,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","JPY","Yen","9","billions","2005","2005",-423,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","JPY","Yen","9","billions","2005","2005",-384,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","JPY","Yen","9","billions","2005","2005",-427.5,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","JPY","Yen","9","billions","2005","2005",-215.775,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","JPY","Yen","9","billions","2005","2005",-308.125,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","JPY","Yen","9","billions","2005","2005",-351.825,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","JPY","Yen","9","billions","2005","2005",-409.175,,
"JPN","Japan","PCGNPA","Net purchases abroad","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","JPY","Yen","9","billions","2005","2005",-452.25,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","KRW","Won","9","billions",,,1252.2,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","KRW","Won","9","billions",,,2451.2,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","KRW","Won","9","billions",,,2497.7,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","KRW","Won","9","billions",,,3882.5,,
"KOR","Korea","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","KRW","Won","9","billions",,,3079.8,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","KRW","Won","9","billions","2010","2010",1424.417298,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","KRW","Won","9","billions","2010","2010",2840.648599,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","KRW","Won","9","billions","2010","2010",3010.574731,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","KRW","Won","9","billions","2010","2010",4359.157963,,
"KOR","Korea","PCGNPA","Net purchases abroad","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","KRW","Won","9","billions","2010","2010",3545.809717,,
"LUX","Luxembourg","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-883.117,,
"LUX","Luxembourg","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-722.756,,
"LUX","Luxembourg","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-786.614,,
"LUX","Luxembourg","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-667.078,,
"LUX","Luxembourg","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-818.358,,
"MEX","Mexico","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","MXN","Mexican Peso","6","millions",,,-20337.72325,,
"MEX","Mexico","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","MXN","Mexican Peso","6","millions",,,-38014.548325,,
"MEX","Mexico","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","MXN","Mexican Peso","6","millions",,,-28152.021775,,
"MEX","Mexico","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","MXN","Mexican Peso","6","millions",,,-19283.366773,,
"MEX","Mexico","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","MXN","Mexican Peso","6","millions",,,-28647.494475,,
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-311,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,214,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-154,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,1547,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-576,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,483.192012,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,254.19335,"P","Provisional value"
"NLD","Netherlands","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,220.869093,"P","Provisional value"
