"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",6426.840946,"P","Provisional value"
"NLD","Netherlands","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",6458.007989,"P","Provisional value"
"NLD","Netherlands","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",6449.151932,"P","Provisional value"
"NLD","Netherlands","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",6410.585322,"P","Provisional value"
"NLD","Netherlands","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",6378.903683,"P","Provisional value"
"NLD","Netherlands","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",6572.282453,"P","Provisional value"
"NLD","Netherlands","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",6604.880573,"P","Provisional value"
"NZL","New Zealand","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","NZD","New Zealand Dollar","6","millions",,,6179,,
"NZL","New Zealand","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","NZD","New Zealand Dollar","6","millions",,,4993,,
"NZL","New Zealand","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","NZD","New Zealand Dollar","6","millions",,,5317,,
"NZL","New Zealand","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","NZD","New Zealand Dollar","6","millions",,,5327,,
"NZL","New Zealand","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","NZD","New Zealand Dollar","6","millions",,,6429,,
"NZL","New Zealand","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","NZD","New Zealand Dollar","6","millions",,,5365,,
"NZL","New Zealand","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","NZD","New Zealand Dollar","6","millions",,,5456,,
"NZL","New Zealand","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","NZD","New Zealand Dollar","6","millions",,,5467,,
"NZL","New Zealand","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","NZD","New Zealand Dollar","6","millions",,,5541,,
"NZL","New Zealand","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","NZD","New Zealand Dollar","6","millions",,,5586,,
"NZL","New Zealand","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6971,,
"NZL","New Zealand","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",5698,,
"NZL","New Zealand","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6085,,
"NZL","New Zealand","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6049,,
"NZL","New Zealand","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",7310,,
"NZL","New Zealand","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6063,,
"NZL","New Zealand","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6198,,
"NZL","New Zealand","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6252,,
"NZL","New Zealand","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6313,,
"NZL","New Zealand","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","NZD","New Zealand Dollar","6","millions","2009_10","2009-10",6364,,
"NOR","Norway","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","NOK","Norwegian Krone","6","millions",,,38858,,
"NOR","Norway","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","NOK","Norwegian Krone","6","millions",,,33743,,
"NOR","Norway","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","NOK","Norwegian Krone","6","millions",,,36901,,
"NOR","Norway","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","NOK","Norwegian Krone","6","millions",,,38034,,
"NOR","Norway","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","NOK","Norwegian Krone","6","millions",,,40311,,
"NOR","Norway","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","NOK","Norwegian Krone","6","millions","2013","2013",37803,,
"NOR","Norway","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","NOK","Norwegian Krone","6","millions","2013","2013",32462,,
"NOR","Norway","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","NOK","Norwegian Krone","6","millions","2013","2013",34920,,
"NOR","Norway","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","NOK","Norwegian Krone","6","millions","2013","2013",36011,,
"NOR","Norway","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","NOK","Norwegian Krone","6","millions","2013","2013",37627,,
"POL","Poland","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","PLN","Zloty","6","millions",,,14875.7,,
"POL","Poland","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","PLN","Zloty","6","millions",,,17977,,
"POL","Poland","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","PLN","Zloty","6","millions",,,17548.7,,
"POL","Poland","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","PLN","Zloty","6","millions",,,17031.3,,
"POL","Poland","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","PLN","Zloty","6","millions","2010","2010",15555.7,,
"POL","Poland","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","PLN","Zloty","6","millions","2010","2010",19112.6,,
"POL","Poland","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","PLN","Zloty","6","millions","2010","2010",18636.5,,
"POL","Poland","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","PLN","Zloty","6","millions","2010","2010",17943.8,,
"PRT","Portugal","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,2138.671,,
"PRT","Portugal","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,2272.788,,
"PRT","Portugal","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,2343.82,,
"PRT","Portugal","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,2295.453,,
"PRT","Portugal","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,2315.653,,
"PRT","Portugal","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2011","2011",2234.786,,
"PRT","Portugal","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2011","2011",2367.895,,
"PRT","Portugal","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2011","2011",2440.168,,
"PRT","Portugal","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2011","2011",2377.253,,
"PRT","Portugal","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2011","2011",2400.668,,
"SVK","Slovak Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,955.031,,
"SVK","Slovak Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,867.201,,
"SVK","Slovak Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,895.862,,
"SVK","Slovak Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,1010.935,,
"SVK","Slovak Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,1005.18,,
"SVK","Slovak Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,921.421323,,
"SVK","Slovak Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,926.483956,,
"SVK","Slovak Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,937.873045,,
"SVK","Slovak Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,951.74652,,
"SVK","Slovak Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,963.074479,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",963.224,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",879.837,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",910.942,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",1023.565,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",1018.591,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",930.328644,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",938.049256,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",950.967549,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",965.515683,,
"SVK","Slovak Republic","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",978.402512,,
"ESP","Spain","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,8958,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,10288,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,10762,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,9469,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,10028,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,9375,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,10037,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,9729,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,10185,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,10596,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",9406,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",10856,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",11097,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",9798,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",10355,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",9822,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",10443,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions","2010","2010",10139,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions","2010","2010",10588,"P","Provisional value"
"ESP","Spain","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions","2010","2010",10936,"P","Provisional value"
"SWE","Sweden","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","SEK","Swedish Krona","6","millions",,,41025,,
"SWE","Sweden","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","SEK","Swedish Krona","6","millions",,,32701,,
"SWE","Sweden","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","SEK","Swedish Krona","6","millions",,,40655,,
"SWE","Sweden","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","SEK","Swedish Krona","6","millions",,,38431,,
"SWE","Sweden","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","SEK","Swedish Krona","6","millions",,,46434,,
"SWE","Sweden","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","SEK","Swedish Krona","6","millions","2014","2014",41137,,
"SWE","Sweden","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","SEK","Swedish Krona","6","millions","2014","2014",32859,,
"SWE","Sweden","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","SEK","Swedish Krona","6","millions","2014","2014",40776,,
"SWE","Sweden","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","SEK","Swedish Krona","6","millions","2014","2014",38625,,
"SWE","Sweden","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","SEK","Swedish Krona","6","millions","2014","2014",46745,,
"SWE","Sweden","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","SEK","Swedish Krona","6","millions","2014","2014",36916,,
"SWE","Sweden","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","SEK","Swedish Krona","6","millions","2014","2014",38272,,
"SWE","Sweden","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","SEK","Swedish Krona","6","millions","2014","2014",38702,,
"SWE","Sweden","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","SEK","Swedish Krona","6","millions","2014","2014",40043,,
"SWE","Sweden","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","SEK","Swedish Krona","6","millions","2014","2014",41617,,
"GBR","United Kingdom","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","GBP","Pound Sterling","6","millions",,,27027,,
"GBR","United Kingdom","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","GBP","Pound Sterling","6","millions",,,27659,,
"GBR","United Kingdom","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","GBP","Pound Sterling","6","millions",,,27740,,
"GBR","United Kingdom","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","GBP","Pound Sterling","6","millions",,,28162,,
"GBR","United Kingdom","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","GBP","Pound Sterling","6","millions",,,28327,,
"GBR","United Kingdom","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","GBP","Pound Sterling","6","millions","2012","2012",27782,,
"GBR","United Kingdom","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","GBP","Pound Sterling","6","millions","2012","2012",28345,,
"GBR","United Kingdom","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","GBP","Pound Sterling","6","millions","2012","2012",28653,,
"GBR","United Kingdom","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","GBP","Pound Sterling","6","millions","2012","2012",29203,,
"GBR","United Kingdom","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","GBP","Pound Sterling","6","millions","2012","2012",29663,,
"USA","United States","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","USD","US Dollar","9","billions",,,325.875,,
"USA","United States","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","USD","US Dollar","9","billions",,,325.45,,
"USA","United States","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","USD","US Dollar","9","billions",,,331.6,,
"USA","United States","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","USD","US Dollar","9","billions",,,334.9,,
"USA","United States","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","USD","US Dollar","9","billions",,,336.725,,
"USA","United States","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","USD","US Dollar","9","billions","2009","2009",355.875,,
"USA","United States","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","USD","US Dollar","9","billions","2009","2009",357.6,,
"USA","United States","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","USD","US Dollar","9","billions","2009","2009",364.575,,
"USA","United States","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","USD","US Dollar","9","billions","2009","2009",370.425,,
"USA","United States","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","USD","US Dollar","9","billions","2009","2009",373.875,,
"CHL","Chile","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","CLP","Chilean Peso","6","millions",,,2667011.761404,,
"CHL","Chile","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","CLP","Chilean Peso","6","millions",,,2222793.368165,,
"CHL","Chile","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","CLP","Chilean Peso","6","millions",,,2306359.290383,,
"CHL","Chile","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","CLP","Chilean Peso","6","millions",,,2481801.571295,,
"CHL","Chile","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","CLP","Chilean Peso","6","millions",,,2982867.122299,,
"CHL","Chile","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","CLP","Chilean Peso","6","millions","2008","2008",2584279.283478,,
"CHL","Chile","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","CLP","Chilean Peso","6","millions","2008","2008",2058200.645537,,
